,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W,L,W/L%,PS/G,PA/G,Conference,PTS_rolling_avg,ORB_rolling_avg,DRB_rolling_avg,AST_rolling_avg,3P_rolling_avg,3PA_rolling_avg,STL_rolling_avg,BLK_rolling_avg,Point_Differential,win_ratio_trend
28,Orlando Magic,72,240.7,38.3,89.2,0.429,10.9,31.8,0.343,27.4,57.4,0.476,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,2021,21,51,0.292,104.0,113.3,East,104.0,10.4,35.1,21.8,10.9,31.8,6.9,4.4,-9.299999999999995,
29,Cleveland Cavaliers,72,242.1,38.6,85.8,0.45,10.0,29.7,0.336,28.6,56.0,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,2021,22,50,0.306,103.8,112.3,East,103.8,10.4,32.3,23.8,10.0,29.7,7.8,4.5,-8.5,
30,Minnesota Timberwolves,82,241.2,41.6,91.0,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18.0,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,2022,46,36,0.561,115.9,113.3,West,114.0,10.85,32.95,25.65,13.95,39.45,8.8,5.55,2.6000000000000085,0.242
31,Memphis Grizzlies,82,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32.0,61.7,0.519,17.0,23.1,0.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,2022,56,26,0.683,115.6,109.9,West,114.45,12.65,35.15,26.45,11.35,32.05,9.45,5.8,5.699999999999989,0.155
32,Milwaukee Bucks,82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51.0,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,2022,51,31,0.622,115.5,112.1,East,117.8,10.25,37.15,24.7,14.25,37.75,7.85,4.3,3.4000000000000057,-0.017
33,Charlotte Hornets,82,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,2022,43,39,0.524,115.3,114.9,East,112.4,10.7,33.45,27.450000000000003,13.8,37.6,8.2,4.85,0.3999999999999915,0.066
34,Phoenix Suns,82,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2022,64,18,0.78,114.8,107.3,West,115.05,9.3,34.85,27.15,12.35,33.25,7.9,4.35,7.5,0.072
35,Atlanta Hawks,82,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,2022,43,39,0.524,113.9,112.4,East,113.8,10.3,34.5,24.35,12.65,33.9,7.1,4.5,1.5,-0.0449999999999999
36,Utah Jazz,82,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26.0,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,2022,49,33,0.598,113.6,107.6,West,115.0,10.7,36.6,23.05,15.6,41.65,6.9,5.050000000000001,6.0,-0.124
37,San Antonio Spurs,82,241.5,43.2,92.7,0.467,11.3,32.0,0.352,32.0,60.7,0.527,15.4,20.4,0.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,2022,34,48,0.415,113.2,113.0,West,112.15,10.15,34.45,26.15,10.6,30.2,7.3,5.0,0.2000000000000028,-0.043
38,Brooklyn Nets,82,240.9,42.0,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,2022,44,38,0.537,112.9,112.1,East,115.75,9.6,34.8,26.05,12.85,33.9,6.9,5.4,0.8000000000000114,-0.13
39,Denver Nuggets,82,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29.0,50.4,0.575,16.7,21.0,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,2022,48,34,0.585,112.7,110.4,West,113.9,9.85,34.4,27.3,12.8,35.05,7.65,4.1,2.299999999999997,-0.068
