Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Charlotte Hornets,82,242.4,42.8,91.4,.468,13.9,38.2,.365,28.8,53.3,.542,15.8,21.4,.740,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,2021/2022
Phoenix Suns*,82,240.6,43.7,90.1,.485,11.6,31.9,.364,32.1,58.2,.551,15.9,19.9,.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,2021/2022
Atlanta Hawks*,82,240.3,41.5,88.3,.470,12.9,34.4,.374,28.6,53.9,.531,18.1,22.3,.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,2021/2022
Utah Jazz*,82,240.6,40.6,86.2,.471,14.5,40.3,.360,26.0,45.8,.568,17.9,23.4,.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,2021/2022
San Antonio Spurs,82,241.5,43.2,92.7,.467,11.3,32.0,.352,32.0,60.7,.527,15.4,20.4,.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,2021/2022
Brooklyn Nets*,82,240.9,42.0,88.4,.475,11.5,31.7,.361,30.5,56.7,.538,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,2021/2022
Denver Nuggets*,82,241.5,41.7,86.3,.483,12.7,35.9,.353,29.0,50.4,.575,16.7,21.0,.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,2021/2022
Los Angeles Lakers,82,243.7,41.6,88.8,.469,12.0,34.5,.347,29.7,54.3,.546,16.8,23.0,.732,9.5,34.5,44.0,24.0,7.6,5.2,14.5,20.2,112.1,2021/2022
Boston Celtics*,82,242.7,40.7,87.4,.466,13.2,37.1,.356,27.5,50.3,.547,17.0,20.9,.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,2021/2022
Chicago Bulls*,82,240.6,41.7,86.9,.480,10.6,28.8,.369,31.1,58.1,.535,17.5,21.5,.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,2021/2022
Indiana Pacers,82,242.4,41.4,89.5,.463,12.2,35.4,.344,29.3,54.1,.541,16.4,21.4,.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,2021/2022
Golden State Warriors*,82,240.6,40.5,86.4,.469,14.3,39.4,.364,26.2,47.0,.557,15.6,20.3,.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0,2021/2022
Sacramento Kings,82,241.5,40.5,88.1,.460,11.4,33.2,.344,29.1,54.9,.530,17.9,23.3,.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,2021/2022
Miami Heat*,82,242.1,39.6,84.8,.467,13.6,35.8,.379,26.0,49.0,.531,17.3,21.4,.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0,2021/2022
Philadelphia 76ers*,82,241.5,39.4,84.5,.466,11.6,31.8,.364,27.8,52.7,.527,19.6,23.8,.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,2021/2022
Houston Rockets,82,240.9,39.4,86.4,.456,13.5,38.7,.349,25.9,47.7,.543,17.5,24.5,.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7,2021/2022
Toronto Raptors*,82,242.1,40.6,91.3,.445,11.9,34.2,.349,28.7,57.1,.503,16.2,21.3,.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,2021/2022
New Orleans Pelicans*,82,240.9,40.2,88.0,.457,10.6,32.1,.332,29.5,55.9,.528,18.3,23.2,.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,2021/2022
Washington Wizards,82,241.8,40.6,86.0,.472,10.5,30.6,.342,30.1,55.4,.543,17.0,21.7,.783,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,2021/2022
Los Angeles Clippers,82,241.2,40.1,87.4,.458,12.8,34.2,.374,27.3,53.3,.512,15.5,19.6,.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4,2021/2022
Dallas Mavericks*,82,240.9,39.3,85.1,.461,13.1,37.4,.350,26.2,47.8,.548,16.4,21.2,.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,2021/2022
Cleveland Cavaliers,82,240.6,39.7,84.6,.469,11.6,32.8,.355,28.1,51.9,.541,16.8,22.1,.760,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8,2021/2022
New York Knicks,82,241.2,37.7,86.2,.437,13.2,36.9,.357,24.5,49.3,.497,18.0,24.1,.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,2021/2022
Portland Trail Blazers,82,240.6,38.5,87.1,.442,12.7,36.8,.346,25.8,50.3,.513,16.4,21.6,.760,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,2021/2022
Detroit Pistons,82,241.2,38.2,88.6,.431,11.3,34.6,.326,26.9,54.0,.498,17.2,22.0,.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8,2021/2022
Orlando Magic,82,241.2,38.3,88.3,.434,12.2,36.9,.331,26.1,51.4,.507,15.5,19.7,.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,2021/2022
Oklahoma City Thunder,82,241.5,38.3,89.1,.430,12.1,37.4,.323,26.2,51.8,.507,15.0,19.9,.756,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,2021/2022
